COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,Y2D2023,260112.771
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,Y2D2023,1694988.977
TOTOECD,BALANCE,CRNGFEED,INDPROD,Y2D2023,1241992.781
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,Y2D2023,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,Y2D2023,1659448.127
TOTOECD,BALANCE,CRNGFEED,OSOURCES,Y2D2023,83805.519
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,Y2D2023,260112.771
TOTOECD,BALANCE,CRNGFEED,PTRANSF,Y2D2023,78070.16
TOTOECD,BALANCE,TOTPRODS,PTRANSF,Y2D2023,78070.16
TOTOECD,BALANCE,TOTPRODS,RECYCLED,Y2D2023,1062.016
TOTOECD,BALANCE,TOTPRODS,REFFUEL,Y2D2023,70404.64
TOTOECD,BALANCE,TOTPRODS,REFGROUT,Y2D2023,1721280.479
TOTOECD,BALANCE,CRNGFEED,REFINOBS,Y2D2023,1762322.27
TOTOECD,BALANCE,CRNGFEED,REFLOSS,Y2D2023,41041.793
TOTOECD,BALANCE,CRNGFEED,STATDIFF,Y2D2023,-16757.948
TOTOECD,BALANCE,TOTPRODS,STATDIFF,Y2D2023,17697.651
TOTOECD,BALANCE,CRNGFEED,STCHANAT,Y2D2023,-2350.27
TOTOECD,BALANCE,TOTPRODS,STCHANAT,Y2D2023,-4594.61
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,Y2D2023,565522.867
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,Y2D2023,612675.814
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,Y2D2023,1132341.38
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,Y2D2023,556448.242
AUSTRALI,BALANCE,CRNGFEED,INDPROD,2021,18029.678
AUSTRIA,BALANCE,CRNGFEED,INDPROD,2021,561.852
BELGIUM,BALANCE,CRNGFEED,INDPROD,2021,0.0
CANADA,BALANCE,CRNGFEED,INDPROD,2021,266630.18
CHILE,BALANCE,CRNGFEED,INDPROD,2021,340.997
CZECH,BALANCE,CRNGFEED,INDPROD,2021,87.0
DENMARK,BALANCE,CRNGFEED,INDPROD,2021,3239.0
ESTONIA,BALANCE,CRNGFEED,INDPROD,2021,0.0
FINLAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
FRANCE,BALANCE,CRNGFEED,INDPROD,2021,874.0
GERMANY,BALANCE,CRNGFEED,INDPROD,2021,3085.15
GREECE,BALANCE,CRNGFEED,INDPROD,2021,58.754
HUNGARY,BALANCE,CRNGFEED,INDPROD,2021,1095.0
ICELAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
IRELAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,2021,168.0
ITALY,BALANCE,CRNGFEED,INDPROD,2021,5831.0779999999995
JAPAN,BALANCE,CRNGFEED,INDPROD,2021,383.249
KOREA,BALANCE,CRNGFEED,INDPROD,2021,1078.892
LATVIA,BALANCE,CRNGFEED,INDPROD,2021,0.0
LITHUANIA,BALANCE,CRNGFEED,INDPROD,2021,28.599999999999998
LUXEMBOU,BALANCE,CRNGFEED,INDPROD,2021,0.0
MEXICO,BALANCE,CRNGFEED,INDPROD,2021,95425.431
NETHLAND,BALANCE,CRNGFEED,INDPROD,2021,1121.065
NORWAY,BALANCE,CRNGFEED,INDPROD,2021,95055.743
NZ,BALANCE,CRNGFEED,INDPROD,2021,975.0
POLAND,BALANCE,CRNGFEED,INDPROD,2021,895.294
PORTUGAL,BALANCE,CRNGFEED,INDPROD,2021,0.0
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,2021,4.557
SLOVENIA,BALANCE,CRNGFEED,INDPROD,2021,0.0
SPAIN,BALANCE,CRNGFEED,INDPROD,2021,5.816
SWEDEN,BALANCE,CRNGFEED,INDPROD,2021,0.0
SWITLAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
TURKEY,BALANCE,CRNGFEED,INDPROD,2021,3441.66
UK,BALANCE,CRNGFEED,INDPROD,2021,40865.0
USA,BALANCE,CRNGFEED,INDPROD,2021,702512.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,2022,16725.052
AUSTRIA,BALANCE,CRNGFEED,INDPROD,2022,515.782
BELGIUM,BALANCE,CRNGFEED,INDPROD,2022,0.0
CANADA,BALANCE,CRNGFEED,INDPROD,2022,274365.886
CHILE,BALANCE,CRNGFEED,INDPROD,2022,378.02
CZECH,BALANCE,CRNGFEED,INDPROD,2022,78.0
DENMARK,BALANCE,CRNGFEED,INDPROD,2022,3186.0
ESTONIA,BALANCE,CRNGFEED,INDPROD,2022,0.0
FINLAND,BALANCE,CRNGFEED,INDPROD,2022,0.0
FRANCE,BALANCE,CRNGFEED,INDPROD,2022,887.0
GERMANY,BALANCE,CRNGFEED,INDPROD,2022,2917.057
GREECE,BALANCE,CRNGFEED,INDPROD,2022,0.0
HUNGARY,BALANCE,CRNGFEED,INDPROD,2022,1080.0
ICELAND,BALANCE,CRNGFEED,INDPROD,2022,0.0
IRELAND,BALANCE,CRNGFEED,INDPROD,2022,0.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,2022,168.0
ITALY,BALANCE,CRNGFEED,INDPROD,2022,5077.7390000000005
JAPAN,BALANCE,CRNGFEED,INDPROD,2022,327.153
KOREA,BALANCE,CRNGFEED,INDPROD,2022,1174.823
LATVIA,BALANCE,CRNGFEED,INDPROD,2022,0.0
LITHUANIA,BALANCE,CRNGFEED,INDPROD,2022,26.5
LUXEMBOU,BALANCE,CRNGFEED,INDPROD,2022,0.0
MEXICO,BALANCE,CRNGFEED,INDPROD,2022,95823.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,2022,713.054
NORWAY,BALANCE,CRNGFEED,INDPROD,2022,89970.46399999999
NZ,BALANCE,CRNGFEED,INDPROD,2022,875.0
POLAND,BALANCE,CRNGFEED,INDPROD,2022,901.99
PORTUGAL,BALANCE,CRNGFEED,INDPROD,2022,0.0
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,2022,2.1430000000000002
SLOVENIA,BALANCE,CRNGFEED,INDPROD,2022,0.0
SPAIN,BALANCE,CRNGFEED,INDPROD,2022,0.912
SWEDEN,BALANCE,CRNGFEED,INDPROD,2022,0.0
SWITLAND,BALANCE,CRNGFEED,INDPROD,2022,0.0
TURKEY,BALANCE,CRNGFEED,INDPROD,2022,3583.113
UK,BALANCE,CRNGFEED,INDPROD,2022,37750.743
USA,BALANCE,CRNGFEED,INDPROD,2022,749969.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,3Q2023,3841.937
AUSTRIA,BALANCE,CRNGFEED,INDPROD,3Q2023,112.08699999999999
BELGIUM,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
CANADA,BALANCE,CRNGFEED,INDPROD,3Q2023,70590.531
CHILE,BALANCE,CRNGFEED,INDPROD,3Q2023,98.813
CZECH,BALANCE,CRNGFEED,INDPROD,3Q2023,17.0
DENMARK,BALANCE,CRNGFEED,INDPROD,3Q2023,739.0
ESTONIA,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
FINLAND,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
FRANCE,BALANCE,CRNGFEED,INDPROD,3Q2023,252.0
GERMANY,BALANCE,CRNGFEED,INDPROD,3Q2023,716.485
GREECE,BALANCE,CRNGFEED,INDPROD,3Q2023,15.097000000000001
HUNGARY,BALANCE,CRNGFEED,INDPROD,3Q2023,288.0
ICELAND,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
IRELAND,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,3Q2023,42.0
ITALY,BALANCE,CRNGFEED,INDPROD,3Q2023,1391.576
JAPAN,BALANCE,CRNGFEED,INDPROD,3Q2023,74.086
KOREA,BALANCE,CRNGFEED,INDPROD,3Q2023,281.222
LATVIA,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
LITHUANIA,BALANCE,CRNGFEED,INDPROD,3Q2023,6.0
LUXEMBOU,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
MEXICO,BALANCE,CRNGFEED,INDPROD,3Q2023,24753.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,3Q2023,161.862
NORWAY,BALANCE,CRNGFEED,INDPROD,3Q2023,23682.619
NZ,BALANCE,CRNGFEED,INDPROD,3Q2023,252.0
POLAND,BALANCE,CRNGFEED,INDPROD,3Q2023,182.049
PORTUGAL,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
SLOVAKIA,BALANCE,CRNGFEED,INDPROD,3Q2023,0.386
SLOVENIA,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
SPAIN,BALANCE,CRNGFEED,INDPROD,3Q2023,0.15300000000000002
SWEDEN,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
SWITLAND,BALANCE,CRNGFEED,INDPROD,3Q2023,0.0
TURKEY,BALANCE,CRNGFEED,INDPROD,3Q2023,1058.75
UK,BALANCE,CRNGFEED,INDPROD,3Q2023,7722.0
USA,BALANCE,CRNGFEED,INDPROD,3Q2023,209086.0
AUSTRALI,BALANCE,CRNGFEED,INDPROD,NOV2022,1355.854
AUSTRIA,BALANCE,CRNGFEED,INDPROD,NOV2022,40.366
BELGIUM,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
CANADA,BALANCE,CRNGFEED,INDPROD,NOV2022,23471.405
CHILE,BALANCE,CRNGFEED,INDPROD,NOV2022,10.077
CZECH,BALANCE,CRNGFEED,INDPROD,NOV2022,6.0
DENMARK,BALANCE,CRNGFEED,INDPROD,NOV2022,262.0
ESTONIA,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
FINLAND,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
FRANCE,BALANCE,CRNGFEED,INDPROD,NOV2022,65.0
GERMANY,BALANCE,CRNGFEED,INDPROD,NOV2022,257.212
GREECE,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
HUNGARY,BALANCE,CRNGFEED,INDPROD,NOV2022,86.0
ICELAND,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
IRELAND,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,NOV2022,14.0
ITALY,BALANCE,CRNGFEED,INDPROD,NOV2022,390.203
JAPAN,BALANCE,CRNGFEED,INDPROD,NOV2022,24.514
KOREA,BALANCE,CRNGFEED,INDPROD,NOV2022,96.116
LATVIA,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
LITHUANIA,BALANCE,CRNGFEED,INDPROD,NOV2022,2.1
LUXEMBOU,BALANCE,CRNGFEED,INDPROD,NOV2022,0.0
MEXICO,BALANCE,CRNGFEED,INDPROD,NOV2022,7929.0
NETHLAND,BALANCE,CRNGFEED,INDPROD,NOV2022,58.785
NORWAY,BALANCE,CRNGFEED,INDPROD,NOV2022,7642.316
NZ,BALANCE,CRNGFEED,INDPROD,NOV2022,64.0
